epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.469,1.31707,2.8994,1.42153,0.67489,0.26011,0.26437,0.1459,1.40371,4.89734,1.55572,0.00333091,0.00333091,0.00333091
2,674.089,1.39449,2.15933,1.46743,0.57052,0.30459,0.2602,0.14527,1.44272,5.82374,1.59236,0.00659826,0.00659826,0.00659826
3,976.077,1.49788,2.11263,1.5452,0.31101,0.24925,0.18776,0.0928,1.61985,8.60567,1.75285,0.00979962,0.00979962,0.00979962
4,1272.78,1.57238,2.04931,1.60696,0.28487,0.26604,0.25951,0.13975,1.50823,6.68895,1.68948,0.009703,0.009703,0.009703
5,1570.21,1.47466,1.83214,1.53526,0.48354,0.25056,0.2838,0.16164,1.40426,6.72469,1.58794,0.009604,0.009604,0.009604
6,1867.57,1.42581,1.70565,1.51162,0.40016,0.33825,0.31672,0.18581,1.36641,5.77856,1.53845,0.009505,0.009505,0.009505
7,2163.03,1.40109,1.61397,1.48036,0.4463,0.33028,0.31961,0.18742,1.35948,6.76732,1.54409,0.009406,0.009406,0.009406
8,2459.35,1.38112,1.57006,1.46396,0.41313,0.34877,0.33872,0.20103,1.34797,7.3391,1.51476,0.009307,0.009307,0.009307
9,2756.66,1.36089,1.50759,1.45229,0.45925,0.36391,0.37192,0.22187,1.30001,6.05365,1.47448,0.009208,0.009208,0.009208
10,3052.1,1.3327,1.46998,1.4279,0.40243,0.40428,0.40165,0.24122,1.26774,5.71731,1.44667,0.009109,0.009109,0.009109
11,3354.3,1.32523,1.43451,1.42772,0.53271,0.40726,0.40438,0.24637,1.2537,6.29266,1.42635,0.00901,0.00901,0.00901
